letter,mass_rel,cx_rel,cy_rel,Ix_norm,Iy_norm
ა,0.3442925347222222,0.5172090030465385,0.5879162727177224,247.9617852425631,173.43444867392407
ბ,0.2805989583333333,0.4828120971899974,0.5558496068574375,189.56043178043365,93.63154134072624
გ,0.3037109375,0.4883738239847564,0.5025195010122663,246.32370362306978,90.93090964717061
დ,0.4155815972222222,0.46942449956483895,0.41753970844212357,284.4114687873966,300.040792265013
ე,0.2618272569444444,0.5193224202237878,0.4996287470645117,249.68152505813416,89.26293764317701
ვ,0.2836371527777778,0.5198769446569752,0.5001474432542719,255.54106730485688,84.86002222275356
ზ,0.3190104166666667,0.4662769274376417,0.499046910430839,242.49353162054751,111.4360117571334
თ,0.341796875,0.49297619047619046,0.47036706349206353,144.93306082589285,303.10067460317464
ი,0.4251302083333333,0.4825059554194317,0.46689690743576656,340.4389112272507,334.81199673604016
კ,0.2279730902777778,0.5506752736792003,0.5746122877994606,179.4275530997144,59.47261400407875
ლ,0.2964409722222222,0.46820857735480725,0.39687805026842365,136.72618487041444,237.81820956233727
მ,0.3289930555555556,0.5032156992084432,0.4900333937994723,260.15335720915556,115.18891602993989
ნ,0.3218315972222222,0.45355697909642617,0.49242456169925825,263.24200725262466,113.50221345386603
ო,0.3433159722222222,0.4935274441635061,0.4195704277286136,151.21181995913224,347.4978727974874
პ,0.23155381944444445,0.5494181505779444,0.5710471337082162,187.66647797441226,57.408886911967606
ჟ,0.3114149305555556,0.5414634146341464,0.4884037456445993,256.6582244861232,107.26029810298104
რ,0.3740234375,0.4496875302195145,0.4855611159462334,230.48579179157397,287.7159698676184
ს,0.2561848958333333,0.43647642241987855,0.5793404983763942,173.01802327462468,102.73776072918137
ტ,0.2970920138888889,0.4863381117604091,0.5151608534209885,213.91157377552807,135.44024037498224
უ,0.27734375,0.5326519300991132,0.47945601851851855,276.2399118682485,89.51580975047818
ფ,0.4327256944444444,0.5247017092945503,0.4465479772651287,346.4890570147943,302.45865991529274
ქ,0.19791666666666666,0.5443108095760234,0.5358701114766081,150.53799735918847,43.51817199826008
ღ,0.3514539930555556,0.4619642122054132,0.40100789852835234,259.0440229993182,223.27468216409815
ყ,0.30078125,0.512066348003848,0.5108375420875421,233.4370089786756,116.48323305444075
შ,0.3423394097222222,0.523864236661384,0.47467313787638665,282.9281568470461,119.49901177859218
ჩ,0.3135850694444444,0.4457396193771626,0.4793504901960784,222.3854275173611,112.56746593858134
ც,0.3184678819444444,0.4991517603634299,0.5135647359454855,251.93087408905922,160.12581792423813
ძ,0.2912326388888889,0.5398969200198708,0.5504571845504223,187.63775930895792,118.91824300898325
წ,0.3334418402777778,0.45730285280399174,0.47554642585963774,279.2559487793551,110.22438438110152
ჭ,0.2185329861111111,0.498624213836478,0.5275053790135716,154.40144681672734,37.39918271750524
ხ,0.2840711805555556,0.4385902088107971,0.5510329131652661,186.46152106676,109.34345954290808
ჯ,0.2582465277777778,0.500827205882353,0.5295386904761905,216.92738327752974,62.72308932036357
ჰ,0.2548828125,0.5477197743720732,0.5651917482616716,200.25262005699824,57.995855117869304
