symbol_index,rank,letter,proximity,profile_proximity,final_score
0,1,ყ,0.9229494450380841,0.9229494450380841,0.9229494450380841
0,2,ვ,0.9015808742573956,0.9015808742573956,0.9015808742573956
0,3,გ,0.9003309253974012,0.9003309253974012,0.9003309253974012
0,4,ე,0.885564386252508,0.885564386252508,0.885564386252508
0,5,მ,0.8674934978917282,0.8674934978917282,0.8674934978917282
0,6,ტ,0.8609253598985149,0.8609253598985149,0.8609253598985149
0,7,ც,0.8424437834042422,0.8424437834042422,0.8424437834042422
0,8,ჯ,0.8365722919923708,0.8365722919923708,0.8365722919923708
0,9,ჟ,0.8229487721276609,0.8229487721276609,0.8229487721276609
0,10,უ,0.822310310556484,0.822310310556484,0.822310310556484
0,11,ზ,0.8075603502469976,0.8075603502469976,0.8075603502469976
0,12,შ,0.7789876992643284,0.7789876992643284,0.7789876992643284
0,13,ბ,0.7500827769710664,0.7500827769710664,0.7500827769710664
0,14,ნ,0.741900613976612,0.741900613976612,0.741900613976612
0,15,ძ,0.7365312302122544,0.7365312302122544,0.7365312302122544
0,16,ჩ,0.7285069691771902,0.7285069691771902,0.7285069691771902
0,17,წ,0.7219227871335041,0.7219227871335041,0.7219227871335041
0,18,ჰ,0.6796193714174623,0.6796193714174623,0.6796193714174623
0,19,ჭ,0.6706930011249301,0.6706930011249301,0.6706930011249301
0,20,ა,0.6487984470793524,0.6487984470793524,0.6487984470793524
0,21,ხ,0.6340535246613166,0.6340535246613166,0.6340535246613166
0,22,პ,0.6295416620935754,0.6295416620935754,0.6295416620935754
0,23,კ,0.6082005341324793,0.6082005341324793,0.6082005341324793
0,24,ქ,0.5896931586292146,0.5896931586292146,0.5896931586292146
0,25,ღ,0.5738633519922058,0.5738633519922058,0.5738633519922058
0,26,ს,0.5575369482319759,0.5575369482319759,0.5575369482319759
0,27,თ,0.5531787119698222,0.5531787119698222,0.5531787119698222
0,28,რ,0.545304918570941,0.545304918570941,0.545304918570941
0,29,ლ,0.5211257418487052,0.5211257418487052,0.5211257418487052
0,30,ო,0.46372074473927893,0.46372074473927893,0.46372074473927893
0,31,დ,0.43776138013075316,0.43776138013075316,0.43776138013075316
0,32,ფ,0.3789378349445742,0.3789378349445742,0.3789378349445742
0,33,ი,0.3750667430804171,0.3750667430804171,0.3750667430804171
1,1,ი,0.8088523466863906,0.8088523466863906,0.8088523466863906
1,2,დ,0.7932881167115158,0.7932881167115158,0.7932881167115158
1,3,რ,0.7409530251484752,0.7409530251484752,0.7409530251484752
1,4,ფ,0.7253334486874591,0.7253334486874591,0.7253334486874591
1,5,ღ,0.7208992142527685,0.7208992142527685,0.7208992142527685
1,6,ც,0.674472253344731,0.674472253344731,0.674472253344731
1,7,წ,0.6704904640282334,0.6704904640282334,0.6704904640282334
1,8,შ,0.665701207444167,0.665701207444167,0.665701207444167
1,9,მ,0.6601228043334124,0.6601228043334124,0.6601228043334124
1,10,ნ,0.638974688945147,0.638974688945147,0.638974688945147
1,11,ზ,0.621334248707357,0.621334248707357,0.621334248707357
1,12,გ,0.5870751998970896,0.5870751998970896,0.5870751998970896
1,13,ყ,0.5725277949577154,0.5725277949577154,0.5725277949577154
1,14,ჩ,0.5712825467739199,0.5712825467739199,0.5712825467739199
1,15,ტ,0.5707196493318822,0.5707196493318822,0.5707196493318822
1,16,ჟ,0.559650707778312,0.559650707778312,0.559650707778312
1,17,ა,0.5432889159355643,0.5432889159355643,0.5432889159355643
1,18,თ,0.538676048894005,0.538676048894005,0.538676048894005
1,19,ვ,0.5359096572617847,0.5359096572617847,0.5359096572617847
1,20,უ,0.5318471444144417,0.5318471444144417,0.5318471444144417
1,21,ო,0.5217623683581645,0.5217623683581645,0.5217623683581645
1,22,ე,0.5033097844765171,0.5033097844765171,0.5033097844765171
1,23,ლ,0.43249800360016066,0.43249800360016066,0.43249800360016066
1,24,ჯ,0.430289424340335,0.430289424340335,0.430289424340335
1,25,ბ,0.42612335592305595,0.42612335592305595,0.42612335592305595
1,26,ხ,0.41219541887073097,0.41219541887073097,0.41219541887073097
1,27,ძ,0.4111551141576314,0.4111551141576314,0.4111551141576314
1,28,ს,0.3130031782315813,0.3130031782315813,0.3130031782315813
1,29,ჰ,0.305991035629102,0.305991035629102,0.305991035629102
1,30,ჭ,0.2593432376384702,0.2593432376384702,0.2593432376384702
1,31,პ,0.24964962883976805,0.24964962883976805,0.24964962883976805
1,32,კ,0.2296249200801359,0.2296249200801359,0.2296249200801359
1,33,ქ,0.17943019788940318,0.17943019788940318,0.17943019788940318
2,1,ჯ,0.9181916944283726,0.9181916944283726,0.9181916944283726
2,2,ე,0.840152547020585,0.840152547020585,0.840152547020585
2,3,ტ,0.8388535506544526,0.8388535506544526,0.8388535506544526
